link,text,date,No_of_likes,No_of_comments
https://twitter.com/AshishSinghKiJi/status/1738941616520568846#m,"Congress ko sirf Rajasthan, Madhya Pradesh, Chhattisgarh, Haryana mein Focus karna hai Loksabha mein ! 4-7 seats Congress Kam kar deti ! Game changer ho sakta hai !","Dec 24, 2023 · 3:16 PM UTC",607,15
https://twitter.com/JyotiDevSpeaks/status/1739252038960292031#m,"मौर्या जी को बर्बाद करके मानेंगे योगी जी, पहले पल्लवी जी से हरवा कर स्टूल पर बिठाया, अब धर्मेंद्र जी से हरवा कर सीधे घर बिठा देंगे मौर्या जी को।","Dec 25, 2023 · 11:49 AM UTC",26,0
https://twitter.com/kaushalgajjar78/status/1739266094127624419#m,Chapa Chapa Guj Uthaega BJP MODI MODI MODI MODI HAI MUMKIN HAI. DEKH LENA RAHUL GANDHI BJP HI FULL BAHUMAT AYEGI IS BAAR LOKSABHA ELECTION MAI CHARSO YA PONI CHAROSO.,"Dec 25, 2023 · 12:45 PM UTC",0,0
https://twitter.com/Politics_2022_/status/1738911804997480620#m,"Maharashtra Loksabha 2024 Opinion Poll (C-Voter) MVA 28 NDA 19 OTH 01 Congress is gaining big in Maharashtra especially in Vidharbha, making a comeback after 15 years.🔥 This survey should hold results, then Vidhansabha would be relatively better for MVA led by Thakrey, Pawar & Congress. Remember, Maharashtra is the second largest state of India politically after Uttar Pradesh.","Dec 24, 2023 · 1:17 PM UTC",1210,178
https://twitter.com/PoliticalViewsO/status/1739217829692420458#m,"#LoksabhaElection2024 Those who say that if Kharge becomes the PM face of the opposition alliance for the 2024 Lok Sabha elections, then most of the SC voters will vote for the opposition alliance, are probably not fully aware of politics. In the 2019 Lok Sabha elections,","Dec 25, 2023 · 9:33 AM UTC",168,1
https://twitter.com/VijayKu31503292/status/1739265987860664689#m,"South and North line was originally the mind game was created by Rahul Gandhi. Waynad and Amethi was the reason during Lok Sabha election's. Dayanidhi Maran, you just dare to say same about Arbi, Pharsi, urdu speaking population.","Dec 25, 2023 · 12:45 PM UTC",0,0
https://twitter.com/Politics_2022_/status/1738952579311337511#m,"This is high time Congress gets active in Amethi & Raebareily for Loksabha 2024 Need Rahul Gandhi and Priyanka Gandhi regular visits from now onwards, to reclaim the bastion.","Dec 24, 2023 · 3:59 PM UTC",1238,189
https://twitter.com/PoliticalViewsO/status/1739228902134870143#m,Nana Patekar : “There is no alternative to BJP in the 2024 Lok Sabha elections. I wouldn't be surprised if they come back to power with 350-375 seats.”,"Dec 25, 2023 · 10:17 AM UTC",100,1
https://twitter.com/SuvenduWB/status/1738565554397745206#m,"The MP of Serampore Lok Sabha Constituency; Kalyan Banerjee distastefully mocked the Hon'ble Vice President of India; Shri Jagdeep Dhankhar Ji in the Parliament premises. Today I marched alongside @BJP4Bengal Karyakartas in Serampore; Hooghly district, to register our protest against the disgusting behavior of the local MP towards the Former Governor of WB, who is the Son of a Farmer and belongs to the OBC Community. The public sentiment indicate that the people of the Serampore Lok Sabha Constituency not only disapprove their MP's utterly shameful behavior but are also eager to teach him a lesson in the upcoming Lok Sabha Elections. @VPIndia","Dec 23, 2023 · 2:21 PM UTC",1349,304
https://twitter.com/NeerajRanjan84/status/1737365153497420074#m,"""The Government has created a new category of Ex-#Agniveer in the #recruitment to the post of Constable (General Duty)/ Rifleman in Central #Armed #Police #Forces and Assam Rifles (CAPFs & AR) with some exceptions"": MoS Home #NityanandRai in a written reply in #LokSabha पूर्व-#अग्निवीरों के लिए सीएपीएफ में होगी एक नई श्रेणी, #गृहराज्यमंत्री ने #लोकसभा में जानकारी दी। गृह राज्य मंत्री नित्यानंद राय ने लोकसभा में एक सवाल के लिखित जवाब में कहा है कि सरकार ने कुछ अपवादों के साथ केंद्रीय सशस्त्र पुलिस बलों और असम राइफल्स (सीएपीएफ और एआर) में कांस्टेबल (जनरल ड्यूटी)/राइफलमैन के पद पर भर्ती में पूर्व-अग्निवीर की एक नई श्रेणी बनाई है। #wintervolliefde #jjk246 #IPLAuction #iplauction2024 #NFFC #CivilWar #SupremeCourt #फौज #Armed","Dec 20, 2023 · 6:51 AM UTC",7,0
https://twitter.com/Harshu644/status/1739265075901280277#m,Andhra was congress bastion till 2014. 33 /40 Lok Sabha seats and huge majority in assembly in 2009. Remaining states u wait and watch.,"Dec 25, 2023 · 12:41 PM UTC",0,1
https://twitter.com/RavinderKapur2/status/1739096711514222950#m,ABP News C Voters Opinion poll for Punjab Lok Sabha Cong - 7 AAP - 4 SAD - 1 BJP - 1 Congress party set to retain its seats in Punjab in Lok Sabha in 2024 elections. Rahul Gandhi emerges as most popular national leader in Punjab and rest of India,"Dec 25, 2023 · 1:32 AM UTC",77,21
https://twitter.com/Litti_Chokhaaa/status/1739265023678288109#m,2024 Loksabha result most likely🔥 Madhya Pradesh : BJP 27-29 : INC : 0-2 Ram Mandir Captain Rohit Sharma कैलाश विजयवर्गीय #XmasWithDunki #AliaBhatt,"Dec 25, 2023 · 12:41 PM UTC",0,0
https://twitter.com/loksabhaspeaker/status/1739120976624054566#m,"Birthday wishes to Shri Deepak(Dev) Adhikari Ji, Lok Sabha MP from Ghatal(West Bengal). Praying for your long and healthy life. @idevadhikari","Dec 25, 2023 · 3:08 AM UTC",36,6
https://twitter.com/Anjan94150697/status/1739191564679934436#m,KARNATAKA LOKSABHA: #EXCLUSIVE: A BREATH OF FRESH AIR IN COASTAL CONG LEADERSHIP.! CONG is becoming more aggressive in #CoastalKarnataka; to the credit of its new revival in organisations— CONG is addressing meetings and reaching out to voters at the block level. IMPRESSIVE.!,"Dec 25, 2023 · 7:49 AM UTC",436,12
https://twitter.com/shantanuyadav23/status/1739264595297226942#m,अरे ऐसी शुभ -शुभ बातें से कही स्टूल न खिसक जाये 😇,"Dec 25, 2023 · 12:39 PM UTC",0,0
https://twitter.com/AnubhavMohanty_/status/1739006873859432809#m,"Yes, the limitation in words as per rules of Lok Sabha restricted me in raising more points on this grave issue but I tried hard to let the voices, feelings, emotions of millions of men & women against the alarming rise in male-suicides in India reach the ears of GOI. #SaveMenToo","Dec 24, 2023 · 7:35 PM UTC",296,25
https://twitter.com/Ritesh_Mishraaa/status/1739264505140613484#m,"Yeh sahi kiya, atleast loksabha chanav rak to chalni he chahiye ye scheme","Dec 25, 2023 · 12:39 PM UTC",3,1
https://twitter.com/Na80891899Surya/status/1739264485972697267#m,"#NayaJammuKashmir Many people living in Kashmir for decades could cast their vote in Lok Sabha polls, but not in J&K’s assembly & local polls. They are the ones who came to India post Partition. Should we have allowed such injustice to exist? via NaMo App","Dec 25, 2023 · 12:39 PM UTC",0,0
https://twitter.com/PTI_News/status/1739260900555870280#m,"VIDEO | “We have no hesitation for an alliance with BJP (for 2024 Lok Sabha elections), but SAD is the bigger partner in Punjab. If they (BJP) agree to the clauses that were put forward by Lt. Parkash Singh Badal earlier, we are ready to join hands with them. Meanwhile, we have decided to form a unit of Akali Dal in Mumbai. We also have in the pipeline the formation of Akali Dal Bihar and Jharkhand,” says Shiromani Akali Dal (SAD) Delhi State president @ParamjitSSarna on the merger of Shiromani Akali Dal (Sanyukt) into Shiromani Akali Dal and the possibility of an alliance with BJP ahead of 2024 Lok Sabha polls.","Dec 25, 2023 · 12:24 PM UTC",43,5
https://twitter.com/greatandhranews/status/1739223326336168012#m,"The latest reports suggest that #Pawankalyan has put forth a fresh demand before #ChandrababuNaidu, asking for 45 assembly seats and five Lok Sabha seats. Read @greatandhranews Story | https://www.greatandhra.com/politics/andhra-news/pawan-raised-his-stakes-after-lokesh-statement-134559 #TDP","Dec 25, 2023 · 9:55 AM UTC",24,7
https://twitter.com/vijaypnw/status/1739263959260373262#m,Exoberantly. Other airlines are not offering and lower fares and try to match indigo fare. I wish all point this to avation minIstet. Before the loksabha 2024 election please see that they reduce the fare be customer friendly and be responsive. If all feel this corect then retwet,"Dec 25, 2023 · 12:36 PM UTC",0,0
https://twitter.com/paranjoygt/status/1739235653878239721#m,Pardon sprayers of gas in Lok Sabha https://www.mid-day.com/news/opinion/article/pardon-sprayers-of-gas-in-lok-sabha-23326530,"Dec 25, 2023 · 10:44 AM UTC",29,1
https://twitter.com/ANI/status/1739196164107608404#m,"#WATCH | On Union Minister Anurag Thakur's statement regarding the INDIA alliance, Karnataka Deputy CM DK Shivakumar says ""NDA alliance will break before (Lok Sabha) elections...""","Dec 25, 2023 · 8:07 AM UTC",322,23
https://twitter.com/AnshumanSail/status/1738913757664010579#m,"Maharashtra 2024 Lok Sabha ABP C voters Opinion Poll INDIA ( Cong + NCP + SS ) - 29 NDA ( BJP + Eknath + Ajit ) - 19 INDIA takes a massive lead in Maharashtra compared to 2019 when it got 5/48, NDA down from 42 to 19 in India's Second largest state.","Dec 24, 2023 · 1:25 PM UTC",1227,123
https://twitter.com/HareshM33960497/status/1739263419365396822#m,"Lok Sabha Passes Maternity Benifits (Ammendment) Bill, 2016 https://www.narendramodi.in/gu/category/infographics via NaMo App","Dec 25, 2023 · 12:34 PM UTC",0,0
https://twitter.com/SudhanidhiB/status/1739248150022660235#m,Home Minister #AmitShah will be coming in tonight for org meets & to also oversee preparations for next year's Lok Sabha Elections.,"Dec 25, 2023 · 11:34 AM UTC",42,2
https://twitter.com/ANI/status/1738832921178570758#m,"#WATCH | Delhi: On BJP's target of achieving more than 50% votes in the Lok Sabha elections in 2024, Delhi Minister Saurabh Bharadwaj says, ""The vote share of the BJP till now was less than 40%. If the whole opposition is united and INDIA Bloc contests united elections, then the BJP has no way. If the BJP does not get more than 50% votes, then it will lose... In the 3 state elections, the total of Congress' votes was more than the BJP. In such a situation, how the BJP will win the Lok Sabha elections, is a huge challenge for them.""","Dec 24, 2023 · 8:04 AM UTC",350,91
https://twitter.com/sansad_tv/status/1739138753023898045#m,"J.P. Nadda , Rajnath Singh Lok Sabha Speaker Om Birla , Harivansh Narayan Singh and other leaders pay floral tribute to former Prime Minister Atal Bihari Vajpayee at 'Sadaiv Atal' memorial, on his birth anniversary. @JPNadda @rajnathsingh @ombirlakota @harivansh1956","Dec 25, 2023 · 4:19 AM UTC",20,0
https://twitter.com/TV9Telugu/status/1739222730023837766#m,Lok Sabha Election 2024 : పార్లమెంటుకు అభ్యర్థులను ఖరారుచేస్తున్న బీఆర్ఎస్ - TV9 #loksabhaelection2024 #BRS #TSPolitics,"Dec 25, 2023 · 9:53 AM UTC",49,0
https://twitter.com/Vinod_r108/status/1739217248102048172#m,No Alternative to BJP. They will easily get 350-375+ seats in 2024 Lok Sabha elections due to their outstanding work. -Vetran Actor Nana Patekar,"Dec 25, 2023 · 9:31 AM UTC",62,0
