,User,Tweet
52,skshukla01INC,"@DickDarryl @TimesNow @navikakumar @thenewshour @AnthonySald @Tamil1947 @KPadmaRani1 @RiaRevealed @priyapyadav18 @RanjitOne @SatanicJumlas @rkhuria @mujworld @lawyerkhanmd @WuntakalL @INCIndia @RahulGandhi @AudaciousQuest_ @Nattashasharrma @HaftaWasooli @sanjukta @SanjayAzadSln @JhaSanjay @sanjaynirupam @Luv_Datta @narendramodi @beindiya @KilaFateh @SimmiAhuja_ RSS, BJP and #modi etc have no faith in ideology of mahathma Gandhi.

The entire #BJP is campaiginng for pragya thakur and trying to justify that she is icon of indian culture.
How can they sack pragya ?
#ModiHaiTohGodseHai
#LokSabhaElections2019
@RahulGandhi @Twitter"
53,PraveenPhilip81,"@harmeekbhamra @ndtv You are right. Only bcos #BJP is trying to change the history and lie to the next generation it becomes very important to speak abt it. Gandhi is the foundation over which this nation stands, that needs to be protected. 
Godse and his ideologies must be put in place. Period."
54,yaqootrs,"Mahatma Gandhi could be the father of the nation, but of Pakistan: Anil Soumitra, BJP spokesperson, Madhya Pradesh #BJP #ShameOnBJP #SickBJP"
55,sadanandtikare,"#RahulGandhi @RahulGandhi
having Two Gods
One #Modi &amp;
Another #Godse
Both are boost to his Political Energy
Without these he his big a zero
He have no other issues  to blow fire in the Media &amp; Social Media
Godse name itself he capitalised by #Cingress and fooling this Nation"
56,msjunebug_nivi,"“You must not lose faith in humanity. Humanity is an ocean; if a few drops of the ocean are dirty, the ocean does not become dirty.” – Mahatma Gandhi #LokSabhaElections2019 #TheBigBangTheory"
57,Amytisd1,"@INCIndia What was the last word of Gandhi... 

Then why U fear that person the most whom Gandhi remembers at the very pinnacle of his pain &amp; agony...

Jai Shree RAM.. JAI JAAAI SHREE RAMMM.. @MamataOfficial
 
@BJP4Bengal
 @BJP4India
 
#NarendraModi #modi
#DeshKaSurajModi
#DeshKaGauravModi"
58,TalhaJameel89,"The difference in #confidence and #overconfidence will be defined on 23rd May 2019. 

#Election2019 #FightForPrimeMinister #Modi #RahulGandhi #BJP #Congress #ElectionDairies #Government

@narendramodi @RahulGandhi @INCIndia @BJP4India"
59,SaiPai9,@RahulGandhi Sir please send list of your journalist and we will arrange a special press conference after NAMO is sworn second time. #BJP
60,deepanshah13,"@sagarikaghose @narendramodi 1. How is it Possible???

2. Why #Modi or #BJP should listen to you people who simply hate them without any reason???

3. Why don't you ask @RahulGandhi to remove Kamalnath as CM of MP???

4. Why don't you ask a reason for Giving 'Bharat Ratna' to Gandhis/ Nehru???

#IndiaFirst"
61,mai_hun_congres,"He divided, 
Journalists
Cricketers
Youngsters
College teens
Sportsmens
Actors actresses
Friends
But due to him countries new age boys niwed
Who Gandhi was 🙏

#pressconference
#Darpokmodi
#ChowkidarChorHai
#DividerInCheif 
#NarendraModi 
#ModiHaiTohGodseHai 
@INCMaharashtra"
62,Makebharatmahan,"@RahulGandhi Shame on you if you &amp; @INCIndia-
1. Don't understand, OR
2. Don't want to understand Godse.
Then again, there is a resdon you have been nick named ""PAPPU!"" @BJP4India #BJP #RSS"
63,hsmujahid,"@RahulGandhi Really quite appreciative of the way u've strongly faced the media &amp; raised the core issues India is suffering, because of Incompetent @BJP4India govt.

Thanks #Rahul bhaiya
#LokSabhaElections2019
#rahulgandhiinterview
#ModiHaiTohGodseHai
#ModiFlopPressConference
#TruthToPower19"
64,KumarReddyCH,"@RahulGandhi @BJP4India believes in #Democracy.
The President @AmitShah ji is supreme of party.
PM @narendramodi is just a Karyakartha of the party n only the president will take questions.

#BJP is not a dynast party like #Congress, where only1 family matters &amp; where democracy has no meaning"
65,umakantsingh_IN,"If Mahatma Gandhi would've been alive4even 5 more years,today the word ""terrorism""would've been not in any language dictionary of the world as emerging world order without Gandhi floundered after World War 2!#PressConference #PressMeet #LokSabhaElections2019 #ModiOnBharat"
66,pkm1999,@kishkindha How about the position of party President Sonia Gandhi vis a vis the position of Dr. MMS during 2004 -2014 ???? @RahulGandhi had torn a cabinet decision paper in front of TV camera's.. Do not throw stones at others when you are sitting inside a glass house..  #Modi  #RahulGandhi
67,Shubham28759999,"Modi ji please answer valid important question instead of technique of licking of AAM,
think for future of india #RahulGandhi #abnyayhoga #ChowkidarChorHai #chokidaarchorhai #ModiHaiTohGodseHai #fakegovernment #chalu_chowkidar @RahulGandhi @rssurjewala @sherryontopp"
68,deshbhakt_tdb,"#ArnabGoswami should be boycotted by all of us. He speaks favourably only towards #bjp and their leaders. He hates peace in India. He hates #RahulGandhi, like Modi arnab can't digest food without taking name of Rahul Gandhi and Congress! And abusing them"
69,DEEPANSHU_1701,"Mr. @RahulGandhi your only priority to defeat #BJP!!
That's mean you don't love our nation #India 
So now its cleared you already defeated yourself by the public of #India now wait &amp; watch 23rd may is near!!"
70,sarora88,Though Assassination of Karamchand Gandhi was not right.... But I do Not Stand in Support of His Beliefs and Deeds and will not ever stand by #RahulGandhi and #Congress... #aayegatoModihi 🥂
71,gandhi_today,"@INCIndia Congress has changed their dp to my pic. To all the retards in the world, I’m no where related to @RahulGandhi #RahulGandhi #NathuramGodse #ihateyoubro #IndianElections2019 #NarendraModi @BJP4India @Mahatma150 @republic"
72,destinationsrik,"Few things I dislike in #NarendraModi:
1. Blind Gandhi bhakti
2. Concepts poorly modeled on western icons, like the ""Statue of Unity""
3. Suppressing his supporters (as in Pragya Singh's case) to earn some brownie points
4. Hypocrisy in observing protocols
5. Overconfidence"
73,manonymos,"@RahulGandhi once famously said ""poverty is a state of mind"". @narendramodi and #BJP mocked him then, but looks like Modi took this to his heart. #Modi visited several foreign nations in 90s, used digital camera in 80s but he still talks about being poor in 2019."
74,imjassi16,"Wts diffrnce btwn @RahulGandhi &amp; @narendramodi
Wen @sampitroda Said 'Hua to Hua'
#rahulgandhi In public rally said him to apologise
&amp; nw wen #SadhviPragya Says #NathuramGodse #Deshbhakt
#Modi tells he want forgive her
Both jst #Copy2Cat each othrs
@sardesairajdeep @abhisar_sharma"
75,Charas_Gaanja,"@RahulGandhi Chewtiya Pappu doesn't even know that their is a diff b/w BJP &amp; Govt. Of India.
Head of BJP - Amit Shah
Head of Govt.- PM Modi.

Press confrence called by BJP not govt. of india.

*खानदानी बीमारी।
😂😂😂😂😂

#LoksabhaElections2019 
#RahulKaKindustan"
76,mainbanugaPM420,"FACT FACT FACT : 
Do you guys know that Ambedkar was in favour of Godse after killing of Gandhi and supported him .

It can be found in the Letters of Ambedkar .
 #ModiHaiTohGodseHai
#PressConference 
#ModiOnBharat 
#BJP
#CongresoVerde"
77,Mishrankit7,"@RahulGandhi Maybe, but not as impractical as your Nyay scheme 🙏🏼.  Exudes desperation.
#Election2019
#RahulGandhi
#Congress
#BJP"
78,Realaamaadmi13,Modi 5 years started by talking about Acche din and vikas and ended with his people defending Gandhi killer Godhse #PressConference #LokSabhaElections2019 #ModiHaiTohGodseHai
79,gaur_anubhuti,"Big Push for opposition unity Chandrababu Naidu will be meeting Rahul Gandhi around 10 am tomorrow. 
@NewsHtn 
#LokSabhaElections2019"
80,RajeshMange2,#Congress will get 28 seats #inc @RahulGandhi @INCIndia
81,sauravkol86,"People will ask #NarendraModi what he did in last five years and then will vote Congress elect Rahul Gandhi as Prime Minister and will say ""Hume Pata Hain Ye Kuch Nahi Karega"" Hey Ram"
82,Sally75682464,"@Rampuniyani1945 @BDUTT Godse was a patriot but a foolish one, if he was wise, he had killed Jinnah instead of Mahtma Gandhi . @BJP4India  @RSSorg  #LokSabhaElections2019"
83,mssamant,"@RahulGandhi Oh what rhyming RahulJi..U-Kg class. 
What a swift decision by #BJP, Pragya had to say sorry. Why can't #Congress take such swift decisions, for worst of words (even anti-national) by so many leaders of yours. 

Our country needs a strong government. Which tit bits can't deliver"
84,SharanRoars,"Who do you think are losing marginally or badly or very badly #LokSabhaElections2019  #Phase7 
@RahulGandhi 
@smritiirani 
@kanhaiyakumar 
@girirajsinghbjp 
#Congress #BJP #CPI #ExitPolls"
85,StartupGiri,"@RahulGandhi you kid 

Will you grow up now because I’m tired of laughing on you .!!!#RahulGandhi #Congress

Dear loser @INCIndia, will you plz remove this kid from President and make new clever President like @aajtak people.

@BJP4India @AmitShah @narendramodi #bjp"
86,SharanRoars,"Who do you think are losing marginally or badly or very badly #LokSabhaElections2019 #Phase7 
@RahulGandhi 
@ShatruganSinha 
@kanhaiyakumar 
@AtishiAAP 
#BJP #Congress #AAP #CPI #ExitPolls"
87,vikshi1311,The best thing PM #NarendraModi @narendramodi has done is not to debate with Rahul Gandhi .Who the hell is #RahulGandhi?? An entitled dynast?? Why sld PM of a country debate with any random person?? In what capacity does he want to debate?? He isn't even a leader of opposition..
88,PrriyaRaj,"Unfair!"" Complains Rahul Gandhi to the media in his press meet: 
""You ask difficult questions to me and the easy ones to Modi."" बड़ी बेइंसाफ़ी है!

#RahulGandhi #PressConference 
#NarendraModi"
89,jacob3290,"@sagarikaghose @narendramodi #NarendraModi has expressed his views on the statement.
As a ""un-biased, Fair, Liberal"" journalist, will you dare to ask Rahul , why he supports #TukdeTukdeGang Gang?

Aa jati hai mooh uthake. 😏"
90,batrasurendra,"@vibhor_anand Absolutely right 
India have mother only 
Bharat Mata 

Is MK Gandhi husband of ... 
#LokSabhaElections2019"
91,SocioPoliticalW,"Overheard: Headlines tomorrow in #Times:
""Indian PM conducted #PressConference  after 5 years without answering any questions"".

#Modi #BJP @RahulGandhi 
#LokSabhaElections2019"
92,Deepspeaks_,"Finally Election  campaign  has come to an end. 

Winners 

Election  commission +

Ruling PM, Party,  NDA ( talked about report card, vision , development  less opposition 

Loosers 

Royal Gandhi , UPA ( only 1 agenda Modi hatao) 

#LokSabhaElections2019"
93,MServe2grow,"#Modi is NOT too BIG TO HIT,

But TOO BIG TO MISS ! 😍❤❤

Period.

@narendramodi @AmitShah @RahulGandhi @priyankagandhi @JM_Scindia @SachinPilot 

#RahulGandhi #PressMeet #presidentkovind #ModiObsession #Elections2019 #ElectionCommission #ElectionNewsTrack #BengalBurning #RSS"
94,umakantsingh_IN,"BJP not2cross even100,Congress75,certainly BJP2get absolute majority in all exit polls,they Modi or Rahul media,thought these media do what due2their dishonesty,but they too honest,as,part of BJP-Congress,not media!#LokSabhaElections2019 #ModiOnBharat #pressmeet #PressConference"
95,arunjitmanna,@AmitShah Mahatma Gandhi and VidyaSagars statue damage would be very costly #India decides this #LokSabhaElections2019. If you are truly serious remove those candidates to prevent further damage in 7th phase sir. Suggestion from a normal citizen. #India decides this #LokSabhaElections2019
96,deepanshah13,"@RahulGandhi So you watched Press Meet of @BJP4India.
But you did NOT observe one thing.
It's Press Meet of #BJP. So questions will be answered by the Party President, Amit Shah. Not by @narendramodi.

You will NEVER understand this.

#IndiaFirst"
97,nallaganesh,"@theskindoctor13 Gandhi Godse ... oooph! ... I don't even remember the days when I used feature-phone Nokia 3310 ... do you? 🤔😖

#LokSabhaElections2019"
98,manishbpl1,"#ModiHaiTohGodseHai #ModiFlopPressConference 

#PressConference

Hosted by #BJP

Headed by #Amitshah 

Attended by Media and also #NarendraModi 😊😊 @narendramodi @AmitShah @RahulGandhi @INCIndia @BJP4India @bainjal @ShatruganSinha @yadavtejashwi @OmarAbdullah @BJP4India"
99,ojhaanjali,"Meanwhile, while BJP distanced itself from Pragya Thakur's statement on Gandhi and PM condemned it, #BJP President @AmitShah said they don't regret giving her a ticket, called it a #Satyagraha against the theory of #HinduTerror"
100,sushrut_oza,"Rahul Gave 15/15 Answers In Press Conference.
Modi Gave 0/17 Answers In Press Conference. .
Media Talking About Modi's Silence n No One Talking About Rahuls Answers.
#PressMeet #NarendraModi #PressConference #LokSabhaElections2019"
101,agneeesh,I am personally happy that Rahul ji has to stop lying now. But scindia is enjoying #LokSabhaElections2019
102,SandipGhose,@indian_politics @INCIndia @RahulGandhi Please read my TL. Right now listening to #RahulGandhi's press conference and keep count of how many times he took #NarendraModi's name. Think that's why #Modi didn't need to speak as Rahul Gandhi did all the talking for him. Touche. #modipressconference
103,chetan_chh,"@RahulGandhi We used to make such funny correlations when we were kids.. Strange you are contending for 'The Prime Minister's' post. You need to grow up and cut all-time baseless anti-modi sarcasm if you want people to take u seriously.
#PMO #NarendraModi"
104,trilokchandanik,@RAC7R @RahulGandhi Ok Then on #Pappu's press conference on behalf of #BJP same Nationalist People r Ask Que to #Pappu r you ready for that Mr #Pappu
105,sanjayg_01,"@IndiaToday @RahulGandhi It takes great courage to face the #PressConference. Even so, more than 90% belong to #DalalMedia. One wrong answer and building of cards crash. You were right #RahulGandhi Modi is coward."
106,vivekchoubey19,"I finally got it. The BJP and the RSS

Are not God-Ke Lovers

They are God-Se Lovers
#RahulGandhi 
@keshavyadaviyc @anandmanjeet @DrMadanMohanJha @RahulGandhi @IYC @INCIndia @srinivasiyc @shaktisinhgohil @ShatruganSinha @Allavaru @iy_rajesh @Deepakkhatri812 @GunjN @AmitaBhushan1"
107,gowri_gowd,"Great relief to Indians because election canvassing came to an end. 

Ofcourse last phase of polling is on 19/05/19. 

The greatest truth revealed in campaigning is #BJP or #Modi carry Lord Shri Ram on their lips and Nathuram in their heart. Rest we know.
@INCIndia 
@RahulGandhi"
108,ravirao83,@IndiaToday @RahulGandhi Give Rahul credit for a hard campaign to ensure #CongressMuktBharat . Time for a nice vacation. #LokSabhaElections2019
109,05Srikkanth,"What we need during engineering viva- a friend like Amit Shah

What we get- a friend like Rahul Gandhi

#Pressconference #Modi #LokSabhaElections2019"
110,Awhadspeaks,"@RahulGandhi Salute @RahulGandhi 
U fought like a warrior respecting the values of #Democracy 
U enjoyed every bit of campaign never got into the trap of #modi because #BJP was not to b seen"
111,SocioPoliticalW,"A new word in the field of #journalism:
Press-Darshan: an event where journalist will be invited to show (Darshan) the body of a living person &amp; not to be allowed to ask any direct question to that person. 
#Pressconference #Modi #AmitShah @RahulGandhi 
#LokSabhaElections2019"
112,Sureshc91120456,"@RahulGandhi Next prime minister of India Rahul Gandhi.
#INC"
113,indiclogic,@RahulGandhi The question is why is #RahulGandhi so Pressed by the #Modi Conference? 😉😂👊
114,Satyapriya111,"In comparison to @RahulGandhi interview VS @narendramodi scripted farzi interviews. #RahulGandhi is far better, bold, confident, real than #Modi who seems weak, frightened to face good reporters.
#Modi is real pappu. So called pappu is upcoming hero.
Congrats to Rahul."
115,Vyomnaut,In #BJP's press conference @narendramodi and @AmitShah ji were talking about how they will take the country forward. In #congress's press conference @RahulGandhi  was just trying to do mimicry of Modi ji. Difference.
116,sivagirisamy,"@RahulGandhi There is real + progress from @RahulGandhi but - @narendramodi 
@INCIndia @BJP4India #Modi #RahulGandhi #HRAJA #BJP4TN @DrTamilisaiBJP"
117,RangamT,"@RahulGandhi in his PC just said that ""he was going to send his 2-3 journalists to @narendramodi ji's &amp; @AmitShah PC at BJP HQ but found the door was closed."" So it means he has those journalists working like his puppets &amp; writting fake stories.
#LokSabhaElections2019"
118,nirmalansun,"#KamalHaasan #bjp #Congress #mnm what Kamal started , but bjp showing their original face . Either they are not able to say God sent is bad and Gandhi is not good . Modi is just saying word against pragya but no one action ? This is real bjp AKA rss #modihaitohgodsehai"
119,bankasaurabh,"#ModiOnBharat  SHIT - that is the only word for so called press conference of PM. 

He not even took a single question. 

@RahulGandhi said correctly that Modi can do only scripted interviews not press conference.

#LokSabhaElections2019 #Modi"
120,vikasmishraa,Modi is falling in Trap of Rahul Gandhi. First started giving interviews at rallies following RG. Now attending a 1st PC in 5years without taking any questions from Media. #LokSabhaElections2019
121,Milan_reports,While @RahulGandhi takes candid questions at his last PC - excited reporters at BJP got no Q&amp;A with @narendramodi 😥 #LokSabhaElections2019
122,kiran_m_kumar,"@JhaSanjay @sheeba_v Mahatma Gandhi is already gone we have #NarendraModi with us now we are not ready to losing modi ji Thousands of #Modi can come but nobody can replace our #NarendraModi the one and only #PrimeMinister who made #India proud
#Modi ji will not #apologize anyone"
